TDB=[
{2,6,7,9,11,13,15,18,19,21,24,26,28,31,35,37,46,50,52,54,56,58,60,62,63,65,67},
{4,6,7,9,12,14,15,18,19,21,24,26,27,31,35,37,44,50,52,54,56,58,59,61,63,65,67},
{3,5,7,9,12,14,16,17,20,22,23,25,27,29,33,36,44,50,51,53,56,58,60,62,64,66,67},
{2,5,7,9,11,14,15,18,19,21,24,25,27,30,34,38,42,50,51,54,55,57,59,61,63,65,67},
{2,5,7,9,11,13,15,17,19,21,24,25,27,31,34,38,47,50,51,53,55,57,59,61,63,65,67},
{2,5,7,9,11,13,15,18,19,21,24,25,27,30,35,37,47,50,52,54,56,58,59,61,63,65,67},
{3,5,7,9,11,13,15,17,19,21,24,25,27,30,35,37,47,49,52,54,55,57,59,61,63,65,67},
{3,5,7,9,11,13,15,18,19,21,24,26,28,31,34,39,44,50,52,54,56,58,59,61,63,65,67},
{2,5,7,9,11,13,15,18,19,21,24,26,27,30,35,37,47,50,52,54,56,58,60,61,63,65,67},
{4,5,7,9,11,13,15,18,19,21,24,26,27,30,35,39,47,50,52,54,55,57,59,61,63,65,67},
{2,6,7,9,11,13,15,18,19,21,24,25,27,31,33,38,47,49,51,53,55,57,59,61,63,65,67},
{4,5,7,9,11,13,15,17,20,21,23,25,27,31,35,37,47,48,52,54,55,57,59,61,63,65,67},
{3,5,7,9,11,14,15,18,19,21,24,26,27,31,35,39,43,50,51,54,56,58,60,62,64,65,67},
{3,5,7,9,11,13,15,17,19,21,24,25,27,30,35,38,44,48,52,54,55,57,59,61,63,65,67},
{3,6,8,10,12,14,15,18,19,21,24,25,27,31,34,38,43,50,52,54,56,58,60,62,64,66,67},
{4,6,7,9,12,13,15,18,19,21,24,26,27,31,34,38,41,49,52,54,56,58,59,61,63,65,67},
{4,5,7,9,11,13,15,18,19,21,24,26,28,30,33,39,46,50,52,54,56,58,60,62,64,66,67},
{2,5,7,9,11,13,15,18,19,21,24,26,27,30,33,37,45,50,52,54,56,58,60,62,64,65,67},
{4,5,7,9,11,13,15,18,19,21,24,26,28,30,35,37,47,50,52,54,56,58,60,62,64,65,67},
{3,6,7,9,11,14,15,17,19,21,24,25,27,30,35,38,43,48,52,54,56,57,59,61,63,65,67},
{2,5,7,9,11,13,15,18,19,21,24,26,27,30,35,39,43,50,52,54,56,58,60,62,63,65,67},
{2,6,7,9,11,13,15,18,19,21,24,26,28,31,35,37,47,49,51,54,56,58,60,61,63,65,67},
{3,6,7,9,11,14,15,18,19,21,24,25,27,31,34,38,41,49,52,54,56,58,59,61,63,65,67},
{4,5,7,9,11,13,15,18,19,21,24,25,27,30,34,38,42,50,52,53,55,57,59,61,63,65,67},
{2,5,7,9,11,14,15,18,19,21,24,26,27,30,33,37,43,50,51,54,56,58,60,62,63,65,67},
{2,6,7,9,11,14,15,18,19,21,24,26,27,31,34,38,47,50,52,54,56,58,60,61,63,65,67},
{2,5,7,9,11,13,15,17,19,21,23,25,27,29,33,37,42,48,52,54,55,57,59,61,63,65,67},
